	reviewName	customerReview	hotelReply	customerOverScore	customerDetailScore	customerReviewDetail	hotelName	hotelDesc	hotelFeatures	hotelStart	hotelAddress	usersRating	scoreScaleUserRating
16949	Tuong V. P. 	Cơ sở mới, nhân viên thân thiện, bữa sáng ngon miệng.	{'replyText': 'Xin chao Tuong Vi Pham, Cảm ơn bạn đã ở lại với chúng tôi và đăng nhận xét của bạn. Đó là một vinh dự lớn cho tất cả chúng tôi khi có bạn là khách của chúng tôi. Chúng tôi rất vui khi biết rằng chúng tôi đã mang đến một kỳ nghỉ tuyệt vời và đặc biệt là giá trị của khách sạn. Phản hồi của bạn về kỳ nghỉ gần đây của bạn với chúng tôi rất tuyệt vời và được đánh giá rất cao và sẽ giúp đảm bảo các dịch vụ được cung cấp tại The Secret Con Dao có chất lượng cao nhất. Chúng tôi rất vui vì bạn đang tận hưởng kỳ nghỉ của mình! Chúng tôi cảm ơn bạn một lần nữa vì đã dành thời gian để chia sẻ kinh nghiệm của bạn. Chúng tôi hy vọng sẽ có nhiều cơ hội hơn để phục vụ bạn trong chuyến thăm Côn Đảo tiếp theo của bạn. Thân ái, Bảo Nguyên. Giám đốc Văn phòng Tiền sảnh.', 'timestamp': '1687329080247', 'isTranslated': True}	10.0	{'cleanlinessScore': '10.0', 'comfortScore': '10.0', 'serviceScore': '10.0', 'foodScore': '10.0', 'locationScore': '10.0'}	"{'travelThemeDisplayName': 'Kỳ nghỉ lễ', 'travelPurposeText': 'Kỳ nghỉ lễ', 'originalReviewText': 'New facility, friendly staff, yummy breakfast.', 'reactionSummaries': ""{'reactionSummaryMap': {'LIKE': {'reactionCount': '0', 'hadReacted': False}}}""}"	The Secret Con Dao	The Secret Con Dao;Khách sạn	Có miễn phí hủy phòng|Mát-xa|Trung tâm thể dục thể hình|Sân thượng/Sân hiên|Các tiện nghi văn phòng|Trung tâm thể dục thể hình	4.0	Côn Đảo (Hòn Sơn), Bà Rịa - Vũng Tàu	8.5	10
138191	Giang N. 	Resort chuẩn 5* nha, dễ thương từ lễ tân đến bảo vệ luôn, dịch vụ của resort rất là chu đáo, phòng thì rộng rãi, buổi tối sẽ được giăng mùng trước khi ngủ, nói chung là dịch vụ tốt rất tuyệt		9.7	{'cleanlinessScore': '10.0', 'comfortScore': '10.0', 'serviceScore': '10.0', 'foodScore': '8.0', 'locationScore': '10.0'}	"{'travelThemeDisplayName': 'Chuyến đi ngắn ngày', 'travelPurposeText': 'Chuyến đi ngắn ngày', 'originalReviewText': None, 'reactionSummaries': ""{'reactionSummaryMap': {'LIKE': {'reactionCount': '3', 'hadReacted': False}}}""}"	Victoria Phan Thiet Beach Resort & Spa	Victoria Phan Thiet Beach Resort & Spa;Khu nghỉ dưỡng	Có miễn phí hủy phòng|Khu vui chơi trẻ em|Quần vợt|Câu lạc bộ thiếu nhi|Trung tâm thể dục thể hình|Quầy bar	4.5	Phú Hài, Bình Thuận	8.8	10
79560	Hieu N. N. 	Khách sạn trở lại bình thường sau thời gian dài đóng cửa Covid, nhân viên tuy ít nhưng thân thiện và hỗ trợ. Họ mang tất cả hành lý của chúng tôi lên phòng, cho thuê xe máy giá cả hợp lý với xe tốt nữa. Bữa sáng là bình thường nhưng họ đang làm tốt như tiêu chuẩn của họ. Nếu bạn muốn ở trung tâm của Dương Đông nhưng tránh xa vương miện và ồn ào thì khách sạn này là lựa chọn tốt nhất.		9.7	{'cleanlinessScore': '8.0', 'comfortScore': '10.0', 'serviceScore': '10.0', 'foodScore': '10.0', 'locationScore': '10.0'}	"{'travelThemeDisplayName': 'Kỳ nghỉ lễ', 'travelPurposeText': 'Kỳ nghỉ lễ', 'originalReviewText': 'Hotel backs to normal after long Covid-lockdown, staff are few but friendly & supportive. They brings all our luggage to the room, motorbike rental is reasonable price with good vehicle also. Breakfast is normal but they are doing good as their standard. If you want to stay central of Duong Dong but away from the crown and noisy then this hotel is best option.', 'reactionSummaries': ""{'reactionSummaryMap': {'LIKE': {'reactionCount': '1', 'hadReacted': False}}}""}"	An Phu Hotel Phu Quoc	Khách sạn An Phú Phú Quốc;Khách sạn	Có miễn phí hủy phòng|Cho thuê xe hơi	3.0	Thị trấn Dương Đông, Phú Quốc	8.9	10
31484	C V. 	Phòng sạch, nhân viên phục vụ tốt, ăn sáng miễn phí nhưng ngon. hoàn toàn hài lòng, lần sau sẽ ghé lại.		9.4	{'cleanlinessScore': '10.0', 'comfortScore': '10.0', 'serviceScore': '10.0', 'foodScore': None, 'locationScore': '8.0'}	"{'travelThemeDisplayName': 'Kỳ nghỉ lễ', 'travelPurposeText': 'Kỳ nghỉ lễ', 'originalReviewText': None, 'reactionSummaries': ""{'reactionSummaryMap': {'LIKE': {'reactionCount': '5', 'hadReacted': False}}}""}"	Damina Boutique Hotel	Damina Boutique Hotel;Khách sạn	Có miễn phí hủy phòng|Đưa đón sân bay	2.0	Hàm Tiến, Phan Thiết	8.4	10
132817	Ho T. V. 	Phong rong rai, thoang mat, view lai dep, duoc cac co lao cong don dep thuong xuyen		9.7	{'cleanlinessScore': '10.0', 'comfortScore': '10.0', 'serviceScore': '10.0', 'foodScore': None, 'locationScore': '10.0'}	"{'travelThemeDisplayName': '', 'travelPurposeText': '', 'originalReviewText': None, 'reactionSummaries': ""{'reactionSummaryMap': {'LIKE': {'reactionCount': '1', 'hadReacted': False}}}""}"	Quynh Mai Resort	Quynh Mai Resort;Khách sạn	Có miễn phí hủy phòng|Phù hợp cho xe lăn|Dịch vụ trả phòng cấp tốc	2.0	xã Dương Tơ, Tỉnh Kiên Giang	8.8	10
72481	Huu T. N. T. 	Dịch vụ khách hàng tuyệt vời, phòng ấm cúng và giá tốt cho khu phố cổ. Khách sạn nằm cạnh Bánh mì 25, một địa điểm nổi tiếng và cách Hồ Hoàn Kiếm một quãng ngắn.		9.7	{'cleanlinessScore': '10.0', 'comfortScore': '10.0', 'serviceScore': '10.0', 'foodScore': None, 'locationScore': '10.0'}	"{'travelThemeDisplayName': 'Kỳ nghỉ lễ', 'travelPurposeText': 'Kỳ nghỉ lễ', 'originalReviewText': 'Great customer service, room is cozy and good price for old quarter area. The hotel is next to Banh Mi 25 which is a popular place and short distance to Hoan Kiem Lake.', 'reactionSummaries': ""{'reactionSummaryMap': {'LIKE': {'reactionCount': '0', 'hadReacted': False}}}""}"	Classy Boutique Hotel	Classy Boutique Hotel;Khách sạn	Thanh toán khi nhận phòng|Quầy bar|Dịch vụ cho thuê xe đạp|Cho thuê xe hơi|Đưa đón sân bay|Quầy bar	3.0	Hàng Đào, Hà Nội	9.7	10
27420	Andrew K. 	Tôi ở trong pullman và khách sạn bình dân khác trong khu vực này. Đây là tốt nhất của tốt nhất!		9.7	{'cleanlinessScore': '10.0', 'comfortScore': '10.0', 'serviceScore': '10.0', 'foodScore': None, 'locationScore': '10.0'}	"{'travelThemeDisplayName': 'Kỳ nghỉ lễ', 'travelPurposeText': 'Kỳ nghỉ lễ', 'originalReviewText': 'I stayed in the pullman and other budget hotel this area. This is by far the best of the best!', 'reactionSummaries': ""{'reactionSummaryMap': {'LIKE': {'reactionCount': '1', 'hadReacted': False}}}""}"	99 Bui Vien Hotel (Boutique)	Khách sạn 99 Bui Vien (Boutique);Khách sạn	Có miễn phí hủy phòng|Thanh toán khi nhận phòng|Dịch vụ trả phòng cấp tốc	1.5	Phạm Ngũ Lão, Thành phố Hồ Chí Minh	7.9	10
122918	Dang T. N. 	Khách sạn nằm khu phố trung tâm, gần chợ đêm và cầu rồng, tiện cho việc đi dạo, ăn tối Phòng khách sạn gia đình ở là phòng gia đình, khá rộng và tiện nghi. Hồ bơi ở tầng 4, không đẹp lắm, do trong khách sạn nên không nắng, độ sâu 0.8-1.2m chỉ thích hợp cho các bé, do hồ bơi có dịch vụ dạy bơi nên khá đông. Ăn sáng đa dạng, đầy đủ các món cơ bản, do là khách sạn lớn nên giờ caonghieepjawn sáng nhà ăn khá đông và ồn ào. Dịch vụ khách sạn tốt, chuyên nghiệp	{'replyText': 'Kính chào quý khách, \n\nChúng tôi xin chân thành cảm ơn quý khách đã dành thời gian chia sẻ cảm nhận của mình sau kì nghỉ tại Khách sạn Mường Thanh Grand Đà Nẵng\nChúng tôi rất vui khi nhận được phản hồi tích cực của quý khách về dịch vụ, cảnh quan cũng như thái độ phục vụ của nhân viên. Trong thời gian tới chúng tôi sẽ không ngừng nâng cấp cơ sở vật chất và chất lượng dịch vụ ngày một tốt hơn và phù hợp hơn với nhu cầu của tất cả quý khách hàng. \n\nRất mong lại được chào đón và phục vụ quý khách và gia đình trong kỳ nghỉ tới. \n\nTrân trọng, \nTrương Lan Hương- Giám đốc điều hành\n', 'timestamp': '1660268986018', 'isTranslated': False}	8.5	{'cleanlinessScore': '8.0', 'comfortScore': '8.0', 'serviceScore': '8.0', 'foodScore': None, 'locationScore': '8.0'}	"{'travelThemeDisplayName': '', 'travelPurposeText': '', 'originalReviewText': None, 'reactionSummaries': ""{'reactionSummaryMap': {'LIKE': {'reactionCount': '0', 'hadReacted': False}}}""}"	Muong Thanh Grand Da Nang Hotel	Muong Thanh Grand Da Nang Hotel;Khách sạn	Quầy bar|Máy sấy quần áo|Sân thượng/Sân hiên|Các tiện nghi văn phòng|Phù hợp cho xe lăn|Quầy bar	4.0	An Hải Tây, Đà Nẵng	8.5	10
37108	Nguyen T. H. H. 	Phòng ốc sạch sẽ thoải mái. Hướng sông nên mát mẻ. Giá cả hợp lý. Cô chủ rất nhiệt tình thân thiện.		8.8	{'cleanlinessScore': '8.0', 'comfortScore': '8.0', 'serviceScore': '10.0', 'foodScore': None, 'locationScore': '8.0'}	"{'travelThemeDisplayName': 'Kỳ nghỉ lễ', 'travelPurposeText': 'Kỳ nghỉ lễ', 'originalReviewText': None, 'reactionSummaries': ""{'reactionSummaryMap': {'LIKE': {'reactionCount': '0', 'hadReacted': False}}}""}"	Riverside Plum Garden Homestay	Riverside Plum Garden Homestay;Nhà nghỉ Homestay	Có miễn phí hủy phòng|Đón khách tại ga tàu|Đưa đón sân bay|Phù hợp cho xe lăn	2.5	Phường Cẩm Phô, Tỉnh Quảng Nam	8.9	10
90939	Phan T. T. L. 	Phòng ở sạch sẽ, gần trung tâm đi mọi nơi đều tiện.		9.4	{'cleanlinessScore': '10.0', 'comfortScore': '10.0', 'serviceScore': '8.0', 'foodScore': None, 'locationScore': '10.0'}	"{'travelThemeDisplayName': '', 'travelPurposeText': '', 'originalReviewText': None, 'reactionSummaries': ""{'reactionSummaryMap': {'LIKE': {'reactionCount': '6', 'hadReacted': False}}}""}"	May Studio Dalat	May Studio Dalat;Căn hộ	Có miễn phí hủy phòng|Thanh toán khi nhận phòng|Nhà bếp mini	2.0	Phường 2, Tỉnh Lâm Đồng	8.9	10
131855	Nguyen N. 	Mình book được khách sạn này với giá cực kì ưu đãi. Mình ở phòng 50m2. Trong phòng đầy đủ tiện nghi. Vị trí kháchsạn ở ngay trung tâm. Đi 1 xíu là ra tới biển rồi. Ở sảnh khách sạn có bán cafe và bánh ngọt. Mặc dù phòng tắm của phòng mình ở gặp xíu vấn đề về nước nóng nhưng cũng đã được chị nhân viên hỗ trợ rất nhiệt tình dù lúc đó cũng khuya rồi. Nói chung trải nghiệm của mình ở đây khá là tốt. Tiếc là mình chỉ book 1 đêm. Khi nào có dịp đi Nha Trang chắc chắn mình sẽ book lại		9.7	{'cleanlinessScore': '10.0', 'comfortScore': '10.0', 'serviceScore': '10.0', 'foodScore': None, 'locationScore': '10.0'}	"{'travelThemeDisplayName': 'Kỳ nghỉ lễ', 'travelPurposeText': 'Kỳ nghỉ lễ', 'originalReviewText': None, 'reactionSummaries': ""{'reactionSummaryMap': {'LIKE': {'reactionCount': '4', 'hadReacted': False}}}""}"	Homie Panorama Nha Trang	Homie Panorama Nha Trang;Căn hộ	Có miễn phí hủy phòng|Thanh toán khi nhận phòng|Nhà bếp mini|Trung tâm thể dục thể hình|Phù hợp cho xe lăn|Dịch vụ trả phòng cấp tốc	3.0	Lộc Thọ, Nha Trang	8.9	10
34267	Hai T. T. N. 	Phòng rất Ok, tuy nhiên không hiểu sao đèn hành lang không bật. Tối thôi hơn đêm 30! Đi 1 mình nên hơi ớn vì mò mãi mới ra cái chỗ mở cửa vào phòng!		8.8	{'cleanlinessScore': '8.0', 'comfortScore': '8.0', 'serviceScore': '8.0', 'foodScore': None, 'locationScore': '10.0'}	"{'travelThemeDisplayName': '', 'travelPurposeText': '', 'originalReviewText': None, 'reactionSummaries': ""{'reactionSummaryMap': {'LIKE': {'reactionCount': '2', 'hadReacted': False}}}""}"	Aluna Ben Thanh Hotel	Aluna Ben Thanh Hotel;Khách sạn	Có miễn phí hủy phòng|Thanh toán khi nhận phòng|Đưa đón sân bay	3.0	Phường Bến Thành, Quận 1	8.8	10
17653	Thai T. H. 	Hài lòng ạ..ks sạch sẽ,đẹp,các bạn nhân viên cũng vui vẽ,nhiệt tình nữa.Lần sau tới mình sẽ lại book đây ạ		8.5	{'cleanlinessScore': '8.0', 'comfortScore': '8.0', 'serviceScore': '8.0', 'foodScore': '8.0', 'locationScore': '8.0'}	"{'travelThemeDisplayName': 'Kỳ nghỉ lễ', 'travelPurposeText': 'Kỳ nghỉ lễ', 'originalReviewText': None, 'reactionSummaries': ""{'reactionSummaryMap': {'LIKE': {'reactionCount': '1', 'hadReacted': False}}}""}"	Hoa Sen Vang Hotel Dalat	Khách sạn Hoa Sen Vàng Đà Lạt;Khách sạn	Có miễn phí hủy phòng|Thanh toán khi nhận phòng	2.0	Phường 4, Đà Lạt	8.7	10
42226	Dinh T. H. N. 	khách sạn sạch đẹp, nhân viên thân thiện, có nhân viên dọn dẹp phòng mỗi ngày, có đầy đủ thiết bị và nước nóng tuy nhiên đèn trong phòng bị hư mất 1 bóng nên chớp tắt, nhà vệ sinh bị hôi nên mình phải đóng nắp bồn cầu và đóng cửa toilet mới ngủ đc. mình sẽ quay lại nếu có dịp		9.1	{'cleanlinessScore': '8.0', 'comfortScore': '10.0', 'serviceScore': '10.0', 'foodScore': None, 'locationScore': '8.0'}	"{'travelThemeDisplayName': 'Chuyến đi ngắn ngày', 'travelPurposeText': 'Chuyến đi ngắn ngày', 'originalReviewText': None, 'reactionSummaries': ""{'reactionSummaryMap': {'LIKE': {'reactionCount': '6', 'hadReacted': False}}}""}"	The Herriott Hotel & Suite	The Herriott Hotel & Suite;Khách sạn	Có miễn phí hủy phòng|Thanh toán khi nhận phòng|Sân thượng/Sân hiên|Quầy bar bên hồ bơi|Phù hợp cho xe lăn|Quầy bar	3.0	An Hải Bắc, Đà Nẵng	8.8	10
94753	Nguyen L. D. K. 	Khách sạn nằm vị trí thuận lợi có thể đi dạo quanh thành phố, phòng ốc sạch sẽ		9.7	{'cleanlinessScore': '10.0', 'comfortScore': '10.0', 'serviceScore': '10.0', 'foodScore': None, 'locationScore': '10.0'}	"{'travelThemeDisplayName': 'Chuyến đi ngắn ngày', 'travelPurposeText': 'Chuyến đi ngắn ngày', 'originalReviewText': None, 'reactionSummaries': ""{'reactionSummaryMap': {'LIKE': {'reactionCount': '2', 'hadReacted': False}}}""}"	Apple Hotel Can Tho	Apple Hotel Can Tho;Khách sạn	Có miễn phí hủy phòng|Dịch vụ cho thuê xe đạp|Cho thuê xe hơi|Đưa đón sân bay|Dịch vụ trả phòng cấp tốc	3.0	Hưng Lợi, Thành phố Cần Thơ	8.8	10
151078	Nguyen M. B. H. 	Phòng mới, sạch, thơm, tiện nghi. Nhân viên vui vẻ, nhiệt tình		10.0	{'cleanlinessScore': '10.0', 'comfortScore': '10.0', 'serviceScore': '10.0', 'foodScore': '10.0', 'locationScore': '10.0'}	"{'travelThemeDisplayName': 'Chuyến công tác', 'travelPurposeText': 'Chuyến công tác', 'originalReviewText': None, 'reactionSummaries': ""{'reactionSummaryMap': {'LIKE': {'reactionCount': '2', 'hadReacted': False}}}""}"	Khang Hy Hotel	Khang Hy Hotel;Khách sạn	Có miễn phí hủy phòng|Thanh toán khi nhận phòng|Trung tâm thể dục thẩm mỹ|Dịch vụ cho thuê xe đạp|Cho thuê xe hơi|Trung tâm thể dục thể hình	2.0	Phường Tân An, Tỉnh Đắk Lắk	8.7	10
75163	Van B. 	Anh chị chủ rất dễ thương, phòng sạch đẹp view sông, đồ ăn ngon. Mình đi đợt này Hội An vẫn vắng khách nên anh chị chủ rất nhiệt tình và hỗ trợ mọi thứ.		8.5	{'cleanlinessScore': '8.0', 'comfortScore': '8.0', 'serviceScore': '8.0', 'foodScore': '8.0', 'locationScore': '8.0'}	"{'travelThemeDisplayName': 'Chuyến đi ngắn ngày', 'travelPurposeText': 'Chuyến đi ngắn ngày', 'originalReviewText': None, 'reactionSummaries': ""{'reactionSummaryMap': {'LIKE': {'reactionCount': '1', 'hadReacted': False}}}""}"	La An Central Boutique Villa	La An Central Boutique Villa;Khách sạn	Có miễn phí hủy phòng|Thanh toán khi nhận phòng|Quầy bar bên hồ bơi|Xông hơi ướt|Dịch vụ spa|Quầy bar	3.0	Minh An, Hội An	8.9	10
62867	Le T. N. T. 	Đúng chuẩn khách sạn 5 sao, verry good. Nhưng spa về tay nghề chưa thể đáp ứng đủ mong đợi của mình, tuy vậy nhưng các bạn nhân viên rất nhiệt tình và chu đáo. Gần chợ và các địa điểm ăn uống		10.0	{'cleanlinessScore': '10.0', 'comfortScore': '10.0', 'serviceScore': '10.0', 'foodScore': '10.0', 'locationScore': '10.0'}	"{'travelThemeDisplayName': 'Chuyến đi ngắn ngày', 'travelPurposeText': 'Chuyến đi ngắn ngày', 'originalReviewText': None, 'reactionSummaries': ""{'reactionSummaryMap': {'LIKE': {'reactionCount': '0', 'hadReacted': False}}}""}"	Melia Vinpearl Quang Binh	Melia Vinpearl Quang Binh;Khách sạn	Có miễn phí hủy phòng|Mát-xa|Trung tâm thể dục thể hình|Các tiện nghi văn phòng|Trung tâm thể dục thể hình|Quầy bar	5.0	Phường Hải Đình, Thành phố Đồng Hới	8.8	10
